Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0482719461989101,0.000171308944523422,0.106246752193616,0,0,0,2.2553715976141,0.00635085920555909,-6.39708504207861E-08,-1.23319294639748E-05,0.00747889776233451,-2.91661796929136E-07,0.0126463141552135,0,0,0,0,0,0,package://mojiwon/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mojiwon/meshes/base_link.STL,,Drive Unit 1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_link,-6.245E-16,-1.9429E-16,0.0235,0,0,0,1.2746,0.0037408,-1.0842E-19,3.475E-18,0.0037408,-2.3431E-18,0.0070516,0,0,0,0,0,0,package://mojiwon/meshes/left_link.STL,0.50196,0.49804,0.49804,1,0,0,0,0,0,0,package://mojiwon/meshes/left_link.STL,,타이어-1,Origin_left_joint,Axis_left_joint,left_joint,continuous,-0.0010088,0.14325,0.097944,-1.5708,-0.85294,0,base_link,0,0,1,1,1,,,,,,,,,,
right_link,-2.43403387722996E-15,-1.33226762955019E-15,-0.0234999999865184,0,0,0,1.27462152376014,0.00374082490658473,-4.2351647362715E-22,3.1320924800035E-18,0.00374082490658472,3.5349213566865E-18,0.00705158889265268,0,0,0,0,0,0,package://mojiwon/meshes/right_link.STL,0.501960784313725,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://mojiwon/meshes/right_link.STL,,타이어-2,Origin_right_joint,Axis_right_joint,right_joint,continuous,-0.0010088,-0.14275,0.097944,1.5708,-0.00064676,3.1416,base_link,0,0,1,1,1,,,,,,,,,,
lidar_link,0.00829409957033963,-3.05114006976526E-13,0.0107011422227911,0,0,0,0.146695752131392,6.22721120792819E-05,1.74376403416964E-15,1.88658076337422E-05,0.000109673997590948,-6.9401490414588E-16,0.000125682524275729,0,0,0,0,0,0,package://mojiwon/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mojiwon/meshes/lidar_link.STL,,ydlidar x4-1,origin_lidar_j,,lidar_joint,fixed,-0.0010088,0.00025196,0.27194,0,0,0,base_link,0,0,0,,,,,,,,,,,,
